Depth,Cone Resistance,Side Friction,P-wave Velocity
3.6,1.52,96.4,1.5636894
3.7,1.5,106.3,1.57148433
3.8000000000000003,1.53,117.9,1.57927926
3.9000000000000004,1.23,113.1,1.58707419
4.0,1.02,97.1,1.59486912
4.1,0.87,79.5,1.59941622
4.2,0.73,70.8,1.59895627
4.3,0.96,72.6,1.59849631
4.3999999999999995,0.9,73.7,1.59803636
4.5,1.32,81.5,1.5975764
4.6,1.25,97.4,1.588138
4.7,1.08,98.5,1.56739342
4.8,1.1,91.5,1.54664883
4.9,0.96,94.4,1.52590425
5.0,0.71,79.0,1.50515966
5.1,0.67,64.2,1.49221952
5.2,0.78,66.4,1.48734398
5.3,1.08,86.9,1.48246843
5.4,2.58,105.7,1.47759289
5.5,2.23,138.0,1.47271734
5.6,1.56,124.1,1.47797764
5.7,0.76,62.9,1.49183803
5.8,0.64,35.4,1.50569843
5.9,0.55,32.1,1.51955882
6.0,0.6,35.1,1.53341922
6.1,0.64,36.8,1.54853668
6.2,0.69,36.4,1.56452711
6.3,0.6,32.7,1.58051753
6.4,0.59,26.6,1.59650796
6.5,0.65,30.8,1.61249838
6.6,0.85,50.1,1.61905247
6.7,1.44,75.6,1.62028351
6.8,1.86,107.2,1.62151454
6.9,1.63,111.3,1.62274558
7.0,1.29,96.7,1.62397661
7.1,1.23,89.4,1.62494172
7.2,1.18,96.7,1.62578654
7.3,1.07,93.0,1.62663135
7.4,0.96,84.8,1.62747616
7.5,0.9,77.8,1.62832097
7.6,0.84,77.4,1.6282198
7.7,0.75,73.4,1.62778229
7.8,0.63,66.4,1.62734477
7.9,0.62,55.1,1.62690726
8.0,0.57,51.0,1.62646974
8.1,0.64,54.5,1.62615153
8.2,0.81,59.9,1.62586562
8.3,0.85,68.8,1.62557972
8.4,0.78,61.5,1.62529381
8.5,0.71,52.3,1.62500791
8.6,0.87,49.6,1.63268749
8.7,0.6,55.5,1.64192894
8.8,0.86,59.8,1.65117038
8.9,0.91,74.2,1.66041182
9.0,0.98,81.7,1.66965327
9.1,0.89,83.4,1.67690629
9.2,0.64,77.2,1.68390156
9.3,0.83,67.9,1.69089683
9.4,0.86,68.8,1.6978921
9.5,0.93,72.0,1.70488736
9.6,0.87,68.3,1.70600852
9.700000000000001,0.81,65.5,1.70671745
9.8,0.77,67.1,1.70742638
9.9,0.65,62.0,1.70813532
10.0,0.8,48.4,1.70884425
10.1,1.3,60.2,1.70751718
10.200000000000001,1.74,74.0,1.70615619
10.3,6.37,133.6,1.70479519
10.4,4.69,209.3,1.70343419
10.5,7.18,236.4,1.70183609
10.6,5.04,217.2,1.69324324
10.700000000000001,3.77,181.7,1.68465039
10.8,9.46,182.0,1.67605754
10.9,3.87,175.6,1.66746469
11.0,2.52,144.4,1.65862065
11.1,3.27,128.7,1.64696327
11.200000000000001,4.7,179.9,1.63530589
11.3,14.73,248.3,1.6236485
11.4,11.47,233.5,1.61199112
11.5,4.05,194.5,1.60121386
11.6,3.33,164.1,1.59626735
11.700000000000001,8.34,220.0,1.59132084
11.8,5.51,274.4,1.58637433
11.9,6.9,205.6,1.58142782
12.0,3.97,194.9,1.57778263
12.1,4.42,168.2,1.5800525
12.200000000000001,2.14,129.0,1.58232238
12.3,1.82,72.2,1.58459225
12.4,1.57,62.9,1.58686212
12.5,1.68,68.9,1.58990136
12.6,1.88,77.1,1.59552349
12.700000000000001,1.71,88.9,1.60114562
12.8,1.76,78.6,1.60676775
12.9,1.97,82.3,1.61238988
13.0,1.64,84.9,1.61883992
13.1,1.78,81.4,1.62743277
13.200000000000001,1.91,85.4,1.63602562
13.3,2.06,91.9,1.64461847
13.4,2.43,98.5,1.65321132
13.5,3.1,111.5,1.65898684
13.6,2.96,118.8,1.65898684
13.700000000000001,3.11,145.6,1.65898684
13.8,1.82,130.5,1.65898684
13.9,1.01,70.0,1.65898684
14.0,1.08,44.3,1.65574691
14.1,2.47,72.8,1.64715406
14.200000000000001,2.92,138.7,1.63856121
14.3,2.82,157.7,1.62996836
14.4,2.97,134.8,1.62137551
14.5,3.05,141.8,1.61404887
14.6,3.89,165.4,1.60842674
14.700000000000001,4.0,187.7,1.60280461
14.8,3.96,196.9,1.59718248
14.9,3.8,193.7,1.59156035
15.0,3.48,180.3,1.58902835
15.1,3.32,181.9,1.58990615
15.200000000000001,3.06,181.8,1.59078395
15.3,2.85,171.1,1.59166175
15.4,2.82,150.4,1.59253955
15.5,2.49,136.6,1.59397667
15.6,2.39,138.9,1.59592067
15.700000000000001,2.42,145.6,1.59786467
15.8,2.44,143.6,1.59980868
15.9,2.56,144.9,1.60175268
16.0,2.58,145.0,1.60693093
16.1,2.53,147.7,1.61451178
16.200000000000003,2.43,145.8,1.62209262
16.3,2.64,127.9,1.62967347
16.400000000000002,2.8,119.6,1.63725431
16.500000000000004,3.2,131.6,1.64712145
16.6,3.13,133.6,1.6583724
16.700000000000003,3.2,127.4,1.66962335
16.8,3.22,118.3,1.6808743
16.900000000000002,3.24,122.4,1.69212524
17.000000000000004,3.07,138.3,1.70582907
17.1,2.65,124.5,1.72072943
17.200000000000003,2.7,104.6,1.73562979
17.3,2.74,101.0,1.75053014
17.400000000000002,2.25,101.1,1.7654305
17.500000000000004,2.06,83.2,1.77564238
17.6,1.96,76.2,1.78404281
17.700000000000003,2.42,79.0,1.79244324
17.8,3.12,89.8,1.80084367
17.900000000000002,2.81,89.8,1.80924409
18.000000000000004,3.05,92.4,1.80458775
18.1,3.53,127.9,1.79604216
18.200000000000003,7.02,261.9,1.78749656
18.3,9.72,300.5,1.77895097
18.400000000000002,5.69,252.4,1.77040538
18.500000000000004,6.71,233.2,1.75981948
18.6,6.66,221.6,1.74878472
18.700000000000003,5.87,242.4,1.73774996
18.8,5.4,218.9,1.72671519
18.900000000000002,2.62,128.7,1.71568043
19.000000000000004,2.35,75.7,1.70725372
19.1,1.75,47.6,1.69922067
19.200000000000003,1.44,33.5,1.69118762
19.300000000000004,1.36,29.9,1.68315457
19.400000000000002,1.45,28.9,1.67512153
19.500000000000004,1.44,37.2,1.673312
19.6,1.61,48.7,1.67205814
19.700000000000003,2.2,82.4,1.67080428
19.800000000000004,2.49,125.3,1.66955043
19.900000000000002,2.76,138.4,1.66829657
20.000000000000004,2.82,139.7,1.66438833
20.1,2.77,127.8,1.66039012
20.200000000000003,3.03,130.0,1.6563919
20.300000000000004,3.54,148.5,1.65239369
20.400000000000002,2.64,175.7,1.64844699
20.500000000000004,3.2,171.9,1.64759126
20.6,3.08,146.4,1.64673552
20.700000000000003,2.82,135.7,1.64587979
20.800000000000004,2.66,132.7,1.64502405
20.900000000000002,2.56,122.8,1.64393586
21.000000000000004,3.02,124.1,1.63953517
21.1,3.3,152.7,1.63513448
21.200000000000003,3.0,165.5,1.63073379
21.300000000000004,2.8,159.7,1.6263331
21.400000000000002,2.48,133.4,1.6217496
21.500000000000004,3.59,150.4,1.61575578
21.6,5.01,194.9,1.60976197
